orderdetails_id,order_id,order_date,order_time,quantity,size,price,Sales,name,category
1,1,01-01-2015,11:38:36,1,M,13.25,13.25,The Hawaiian Pizza,Classic
2,2,01-01-2015,11:57:40,1,M,16,16,The Classic Deluxe Pizza,Classic
3,2,01-01-2015,11:57:40,1,L,18.5,18.5,The Five Cheese Pizza,Veggie
4,2,01-01-2015,11:57:40,1,L,20.75,20.75,The Italian Supreme Pizza,Supreme
5,2,01-01-2015,11:57:40,1,M,16,16,The Mexicana Pizza,Veggie
6,2,01-01-2015,11:57:40,1,L,20.75,20.75,The Thai Chicken Pizza,Chicken
7,3,01-01-2015,12:12:28,1,M,16.5,16.5,The Italian Supreme Pizza,Supreme
8,3,01-01-2015,12:12:28,1,L,20.75,20.75,The Prosciutto and Arugula Pizza,Supreme
9,4,01-01-2015,12:16:31,1,M,16.5,16.5,The Italian Supreme Pizza,Supreme
10,5,01-01-2015,12:21:30,1,M,16.5,16.5,The Italian Supreme Pizza,Supreme
11,6,01-01-2015,12:29:36,1,S,12.75,12.75,The Barbecue Chicken Pizza,Chicken
12,6,01-01-2015,12:29:36,1,S,12,12,The Greek Pizza,Classic
13,7,01-01-2015,12:50:37,1,S,12.5,12.5,The Spinach Supreme Pizza,Supreme
14,8,01-01-2015,12:51:37,1,S,12.5,12.5,The Spinach Supreme Pizza,Supreme
15,9,01-01-2015,12:52:01,1,S,12,12,The Classic Deluxe Pizza,Classic
16,9,01-01-2015,12:52:01,1,S,12,12,The Green Garden Pizza,Veggie
17,9,01-01-2015,12:52:01,1,L,20.5,20.5,The Italian Capocollo Pizza,Classic
18,9,01-01-2015,12:52:01,1,L,20.75,20.75,The Italian Supreme Pizza,Supreme
19,9,01-01-2015,12:52:01,1,S,12.5,12.5,The Italian Supreme Pizza,Supreme
20,9,01-01-2015,12:52:01,1,S,12,12,The Mexicana Pizza,Veggie
21,9,01-01-2015,12:52:01,1,L,20.75,20.75,The Spicy Italian Pizza,Supreme
22,9,01-01-2015,12:52:01,1,L,20.75,20.75,The Spinach Pesto Pizza,Veggie
23,9,01-01-2015,12:52:01,1,S,12,12,The Vegetables + Vegetables Pizza,Veggie
24,10,01-01-2015,13:00:15,1,L,20.25,20.25,The Mexicana Pizza,Veggie
25,10,01-01-2015,13:00:15,1,L,20.75,20.75,The Southwest Chicken Pizza,Chicken
26,11,01-01-2015,13:02:59,1,L,20.75,20.75,The Barbecue Chicken Pizza,Chicken
27,11,01-01-2015,13:02:59,1,L,20.75,20.75,The California Chicken Pizza,Chicken
28,11,01-01-2015,13:02:59,1,M,16.75,16.75,The California Chicken Pizza,Chicken
29,11,01-01-2015,13:02:59,1,L,15.25,15.25,The Pepperoni Pizza,Classic
30,12,01-01-2015,13:04:41,1,L,20.75,20.75,The California Chicken Pizza,Chicken
31,12,01-01-2015,13:04:41,1,S,12.75,12.75,The California Chicken Pizza,Chicken
32,12,01-01-2015,13:04:41,1,L,20.75,20.75,The Chicken Pesto Pizza,Chicken
33,12,01-01-2015,13:04:41,1,M,16.5,16.5,The Italian Supreme Pizza,Supreme
34,13,01-01-2015,13:11:55,1,L,20.25,20.25,The Mexicana Pizza,Veggie
35,14,01-01-2015,13:14:19,1,S,12,12,The Greek Pizza,Classic
36,15,01-01-2015,13:33:00,1,S,12,12,The Big Meat Pizza,Classic
37,15,01-01-2015,13:33:00,1,L,18.5,18.5,The Five Cheese Pizza,Veggie
38,15,01-01-2015,13:33:00,1,L,20.75,20.75,The Soppressata Pizza,Supreme
39,15,01-01-2015,13:33:00,1,S,12,12,The Greek Pizza,Classic
40,16,01-01-2015,13:34:07,1,L,17.95,17.95,The Four Cheese Pizza,Veggie
41,16,01-01-2015,13:34:07,1,S,12,12,The Napolitana Pizza,Classic
42,16,01-01-2015,13:34:07,1,L,20.75,20.75,The Thai Chicken Pizza,Chicken
43,17,01-01-2015,13:53:00,1,L,20.75,20.75,The Barbecue Chicken Pizza,Chicken
44,17,01-01-2015,13:53:00,1,M,16.25,16.25,The Calabrese Pizza,Supreme
45,17,01-01-2015,13:53:00,1,L,18.5,18.5,The Five Cheese Pizza,Veggie
46,17,01-01-2015,13:53:00,1,M,14.75,14.75,The Four Cheese Pizza,Veggie
47,17,01-01-2015,13:53:00,1,M,16.5,16.5,The Italian Supreme Pizza,Supreme
48,17,01-01-2015,13:53:00,1,S,12.75,12.75,The Italian Vegetables Pizza,Veggie
49,17,01-01-2015,13:53:00,2,M,16,32,The Mediterranean Pizza,Veggie
50,17,01-01-2015,13:53:00,1,L,20.25,20.25,The Mexicana Pizza,Veggie
51,17,01-01-2015,13:53:00,1,S,12.5,12.5,The Pepper Salami Pizza,Supreme
52,17,01-01-2015,13:53:00,1,L,20.25,20.25,The Spinach and Feta Pizza,Veggie
53,18,01-01-2015,13:57:08,1,L,20.5,20.5,The Napolitana Pizza,Classic
54,19,01-01-2015,13:59:09,1,L,20.5,20.5,The Italian Capocollo Pizza,Classic
55,19,01-01-2015,13:59:09,1,L,20.25,20.25,The Sicilian Pizza,Supreme
56,20,01-01-2015,14:03:08,1,S,12,12,The Big Meat Pizza,Classic
57,20,01-01-2015,14:03:08,1,L,18.5,18.5,The Five Cheese Pizza,Veggie
58,21,01-01-2015,14:14:29,1,L,20.5,20.5,The Italian Capocollo Pizza,Classic
59,22,01-01-2015,14:16:26,1,L,18.5,18.5,The Five Cheese Pizza,Veggie
60,22,01-01-2015,14:16:26,1,M,16,16,The Italian Capocollo Pizza,Classic
61,22,01-01-2015,14:16:26,1,L,20.75,20.75,The Southwest Chicken Pizza,Chicken
62,23,01-01-2015,14:19:03,1,S,12.75,12.75,The Southwest Chicken Pizza,Chicken
63,24,01-01-2015,14:23:01,1,M,16.75,16.75,The Barbecue Chicken Pizza,Chicken
